"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"1502","PE","NCEH1","no hit",0.4323896,0.2363231,"Data not available"
"1503","PE","GPRC5A","no hit",0.7300156,0.1843865,"Data not available"
"1504","PE","SCAMP2","no hit",-0.7141227,0.0425531,"Data not available"
"1505","PE","APMAP","no hit",0.4846636,0.2781128,"Data not available"
"1506","PE","GPD2","enriched candidate",1.3088019,0.0558469,"Data not available"
"1507","PE","RPS7","no hit",-1.1847248,0.1367301,"Data not available"
"1508","PE","PSMB1","no hit",-0.1190548,0.7414412,"Data not available"
"1509","PE","SLC16A1","no hit",0.1246826,0.5865823,"Data not available"
"1510","PE","P4HB","no hit",0.5141162,0.3063375,"Data not available"
"1511","PE","ANXA2","no hit",0.0315289,0.8838129,"Data not available"
"1512","PE","FARSB","no hit",-0.9754518,0.1081376,"Data not available"
"1513","PE","RAB27B","no hit",0.2493259,0.4934005,"Data not available"
"1514","PE","VAPA","enriched candidate",0.9139444,0.0655578,"Data not available"
"1515","PE","RAB1B","no hit",-0.4802344,0.1950401,"Data not available"
"1516","PE","9-Sep","no hit",-1.1495393,0.229899,"Data not available"
"1517","PE","DEGS1","no hit",0.5725459,0.0779586,"Data not available"
"1518","PE","DLG1","no hit",0.4981249,0.0638309,"Data not available"
"1519","PE","ZMPSTE24","no hit",0.7210685,0.1179194,"Data not available"
"1520","PE","RABAC1","no hit",-0.4863726,0.2378858,"Data not available"
"1521","PE","CSDE1","no hit",-1.3081679,0.1288399,"Data not available"
"1522","PE","SCD","enriched candidate",0.8347019,0.0498486,"Data not available"
"1523","PE","SLC5A6","no hit",-0.5117102,0.0480789,"Data not available"
"1524","PE","HDGF","no hit",-0.7799302,0.0447058,"Data not available"
"1525","PE","FAU","no hit",-1.5092772,0.2107272,"Data not available"
"1526","PE","S100A13","no hit",-0.9305155,0.0865794,"Data not available"
"1527","PE","RPL5","no hit",-1.1747547,0.0920863,"Data not available"
"1528","PE","PLD3","no hit",0.3640653,0.2023372,"Data not available"
"1529","PE","TPM4","no hit",0.5770425,0.1861186,"Data not available"
"1530","PE","RPS14","no hit",-1.1634865,0.1159482,"Data not available"
"1531","PE","STT3B","no hit",1.3664882,0.2861883,"Data not available"
"1532","PE","FUBP1","no hit",-0.6758808,0.0695858,"Data not available"
"1533","PE","SFPQ","no hit",-0.0471734,0.9244352,"Data not available"
"1534","PE","ESYT1","no hit",0.9129691,0.1898051,"Data not available"
"1535","PE","M6PR","no hit",-0.6549505,0.199845,"Data not available"
"1536","PE","FLVCR1","no hit",0.0821283,0.7919818,"Data not available"
"1537","PE","RUVBL2","no hit",-0.7702881,0.1830327,"Data not available"
"1538","PE","CORO1C","no hit",0.6345545,0.2864592,"Data not available"
"1539","PE","RPL14","no hit",-1.3067001,0.2080305,"Data not available"
"1540","PE","TMEM165","no hit",-0.4595446,0.2858887,"Data not available"
"1541","PE","NCL","enriched candidate",0.7250099,0.0642066,"Data not available"
"1542","PE","IKBIP","no hit",1.1417357,0.1589767,"Data not available"
"1543","PE","EIF2A","no hit",-1.0084641,0.1378801,"Data not available"
"1544","PE","SEC61B","no hit",0.2599649,0.4163027,"Data not available"
"1545","PE","PSMA3","no hit",-0.5553528,0.1837614,"Data not available"
"1546","PE","CYB5R3","no hit",0.7990912,0.0887368,"Data not available"
"1547","PE","AK2","no hit",0.9504375,0.0817618,"Data not available"
"1548","PE","RPL24","no hit",-1.3019531,0.1786114,"Data not available"
"1549","PE","RPL36A|RPL36A-HNRNPH2","no hit",-1.3371821,0.1517261,"Data not available"
"1550","PE","ARPC4-TTLL3|ARPC4","no hit",0.4158419,0.2514127,"Data not available"
"1551","PE","DDX3X","no hit",-1.0153922,0.1873957,"Data not available"
"1552","PE","HLA-A","no hit",0.0103419,0.9665554,"Data not available"
"1553","PE","TMX2","enriched candidate",0.9467155,0.0120021,"Data not available"
"1554","PE","STX10","no hit",-0.485636,0.1910114,"Data not available"
"1555","PE","CALR","no hit",0.5172317,0.1406136,"Data not available"
"1556","PE","PPP3CA","no hit",-0.399238,0.1203675,"Data not available"
"1557","PE","EIF3G","no hit",-1.2972172,0.1418085,"Data not available"
"1558","PE","RPLP0","no hit",-1.0651957,0.1407894,"Data not available"
"1559","PE","SLC7A2","no hit",-0.3995457,0.1903705,"Data not available"
"1560","PE","SLC31A1","no hit",-0.0560104,0.8542247,"Data not available"
"1561","PE","RPS8","no hit",-1.1752908,0.2083535,"Data not available"
"1562","PE","TMED5","no hit",-0.143135,0.7596693,"Data not available"
"1563","PE","RPL35","no hit",-1.1620853,0.2315781,"Data not available"
"1564","PE","SCP2","enriched candidate",1.0237617,0.0664381,"Data not available"
"1565","PE","E9PAM4|PI4K2A","no hit",-0.4878897,0.1555436,"Data not available"
"1566","PE","RPL11","no hit",-1.1890316,0.1985455,"Data not available"
"1567","PE","RPL15","no hit",-0.9475853,0.269608,"Data not available"
"1568","PE","TSPAN4","no hit",0.2973885,0.6597311,"Data not available"
"1569","PE","RPS20","no hit",-1.3810225,0.1502141,"Data not available"
"1570","PE","TECR","no hit",0.8234753,0.3136913,"Data not available"
"1571","PE","NAPA","no hit",-0.3380945,0.2368901,"Data not available"
"1572","PE","KDSR","no hit",0.4978699,0.202922,"Data not available"
"1573","PE","ITGA2","no hit",0.2802604,0.605316,"Data not available"
"1574","PE","XRCC5","no hit",-0.7128302,0.2731589,"Data not available"
"1575","PE","SYNCRIP","no hit",-0.8579058,0.1902191,"Data not available"
"1576","PE","SURF4","no hit",-0.2397919,0.4631764,"Data not available"
"1577","PE","SYPL1","no hit",-0.3614096,0.5440042,"Data not available"
"1578","PE","FKBP9","no hit",0.3653033,0.3873045,"Data not available"
"1579","PE","RPL7","no hit",-1.2803383,0.153799,"Data not available"
"1580","PE","MICA","no hit",0.3609124,0.3421447,"Data not available"
"1581","PE","RPL36","no hit",-1.168422,0.24222,"Data not available"
"1582","PE","RPS3A","no hit",-1.0960594,0.1851519,"Data not available"
"1583","PE","CYB5B","no hit",0.6710972,0.2832957,"Data not available"
"1584","PE","RHEB","no hit",0.2394298,0.2972043,"Data not available"
"1585","PE","SEC61A1","enriched candidate",0.6914496,0.0454093,"Data not available"
"1586","PE","PDIA4","no hit",0.8142042,0.2594935,"Data not available"
"1587","PE","P4HA2","no hit",0.5944729,0.2078787,"Data not available"
"1588","PE","PSMA4","no hit",-0.0015543,0.9953458,"Data not available"
"1589","PE","UQCRB","no hit",1.1612093,0.165125,"Data not available"
"1590","PE","RPL23A","no hit",-1.0143976,0.2456676,"Data not available"
"1591","PE","RPS17","no hit",-1.4228098,0.1586376,"Data not available"
"1592","PE","RPS3","no hit",-1.1823833,0.1802986,"Data not available"
"1593","PE","PLEC","no hit",0.1088815,0.8654216,"Data not available"
"1594","PE","LGALS3BP","no hit",0.5519703,0.0677993,"Data not available"
"1595","PE","EEF2","no hit",-0.9191843,0.2021019,"Data not available"
"1596","PE","RAB1A","no hit",-0.3929116,0.1693721,"Data not available"
"1597","PE","RPS11","no hit",-1.2214507,0.1533688,"Data not available"
"1598","PE","RPS2","no hit",-1.2056922,0.2008708,"Data not available"
"1599","PE","TMEM33","enriched candidate",0.7626371,0.0238227,"Data not available"
"1600","PE","RPL13","no hit",-1.1379202,0.2368046,"Data not available"
"1601","PE","RPL22","no hit",-1.3428734,0.1455192,"Data not available"
"1602","PE","CLCC1","no hit",0.6428979,0.1006723,"Data not available"
"1603","PE","RPS9","no hit",-1.3552671,0.1552954,"Data not available"
"1604","PE","RPS24","no hit",-1.2758859,0.20351,"Data not available"
"1605","PE","RPL34","no hit",-1.198869,0.2723436,"Data not available"
"1606","PE","EIF3F","no hit",-0.83563,0.070114,"Data not available"
"1607","PE","MATR3","no hit",-0.3518068,0.4349733,"Data not available"
"1608","PE","NIT2","no hit",-0.1309036,0.648931,"Data not available"
"1609","PE","S100A10","no hit",0.2487605,0.4588628,"Data not available"
"1610","PE","HTATIP2","no hit",0.4114694,0.4687401,"Data not available"
"1611","PE","FAM3C","no hit",-0.3495352,0.2411073,"Data not available"
"1612","PE","LRRC59","no hit",1.7379222,0.1715984,"Data not available"
"1613","PE","REEP5","no hit",-0.3321109,0.4616551,"Data not available"
"1614","PE","RPL28","no hit",-1.0767428,0.2287,"Data not available"
"1615","PE","RPL7A","no hit",-1.0601064,0.2420791,"Data not available"
"1616","PE","RPL26","no hit",-1.2629444,0.2059466,"Data not available"
"1617","PE","RPL29","no hit",-1.174668,0.3054071,"Data not available"
"1618","PE","IGF2BP3","no hit",-0.9819136,0.1928785,"Data not available"
"1619","PE","TXNDC12","no hit",0.5234791,0.1660708,"Data not available"
"1620","PE","AP2B1","no hit",0.2643168,0.4188954,"Data not available"
"1621","PE","RPS13","no hit",-1.2016797,0.1716846,"Data not available"
"1622","PE","CDC42","no hit",0.0214432,0.9404895,"Data not available"
"1623","PE","SLC2A3","no hit",0.2428679,0.5956313,"Data not available"
"1624","PE","DARS","no hit",0.3120175,0.5728485,"Data not available"
"1625","PE","MPZL1","no hit",0.3173118,0.4945634,"Data not available"
"1626","PE","GLG1","no hit",-0.1132116,0.7330449,"Data not available"
"1627","PE","RPL13A","no hit",-1.1281656,0.2424523,"Data not available"
"1628","PE","HDLBP","no hit",-0.8107209,0.1919928,"Data not available"
"1629","PE","RPL19","no hit",-1.1177523,0.1776871,"Data not available"
"1630","PE","RPL8","no hit",-1.3424516,0.2279142,"Data not available"
"1631","PE","HM13","no hit",0.509327,0.2679455,"Data not available"
"1632","PE","CPNE3","no hit",-0.3214158,0.2627167,"Data not available"
"1633","PE","RPS18","no hit",-1.1811845,0.1569838,"Data not available"
"1634","PE","VKORC1L1","no hit",0.3562727,0.4147544,"Data not available"
"1635","PE","RPL10A","no hit",-1.0748685,0.2419216,"Data not available"
"1636","PE","SCARB1","no hit",0.2606525,0.4189073,"Data not available"
"1637","PE","SCRIB","no hit",0.2165163,0.4533172,"Data not available"
"1638","PE","RPL21","no hit",-1.0599002,0.2507942,"Data not available"
"1639","PE","FLNB","no hit",0.6712528,0.1809192,"Data not available"
"1640","PE","RPLP2","no hit",-1.1430867,0.1048435,"Data not available"
"1641","PE","RCC2","no hit",-0.9090149,0.2648305,"Data not available"
"1642","PE","FLNA","no hit",0.8370706,0.3385726,"Data not available"
"1643","PE","RPL27","no hit",-0.9817767,0.2939087,"Data not available"
"1644","PE","ENG","no hit",0.2120423,0.4992127,"Data not available"
"1645","PE","RANGAP1","no hit",0.1640025,0.6205792,"Data not available"
"1646","PE","RPL17|RPL17-C18orf32","no hit",-0.9930729,0.2761759,"Data not available"
"1647","PE","RPS4X","no hit",-0.9780111,0.2317113,"Data not available"
"1648","PE","SQSTM1","no hit",0.5998086,0.3607753,"Data not available"
"1649","PE","RPS6","no hit",-1.1310338,0.2081219,"Data not available"
"1650","PE","CD151","no hit",0.1048861,0.8182084,"Data not available"
"1651","PE","RPL3","no hit",-0.950559,0.2608037,"Data not available"
"1652","PE","GAA","no hit",-0.0226581,0.9345054,"Data not available"
"1653","PE","STX7","no hit",-0.3327488,0.2780365,"Data not available"
"1654","PE","VAPB","no hit",0.4803762,0.1031251,"Data not available"
"1655","PE","RPS23","no hit",-1.2703006,0.1559076,"Data not available"
"1656","PE","TBL2","no hit",1.0830149,0.2090324,"Data not available"
"1657","PE","PSMB6","no hit",-0.5897653,0.2098741,"Data not available"
"1658","PE","RPL4","no hit",-1.0077362,0.2767951,"Data not available"
"1659","PE","ATP6AP1","no hit",0.481467,0.3012787,"Data not available"
"1660","PE","GOLPH3","no hit",-0.2444842,0.4412116,"Data not available"
"1661","PE","RPS5","no hit",-1.0576074,0.23155,"Data not available"
"1662","PE","ACLY","no hit",-0.763973,0.3103029,"Data not available"
"1663","PE","VAT1","no hit",-0.3899011,0.3100714,"Data not available"
"1664","PE","DPM3","no hit",0.5039774,0.325027,"Data not available"
"1665","PE","HNRNPL","no hit",-0.1985422,0.7263335,"Data not available"
"1666","PE","ARF3|ARF1","no hit",-0.2488867,0.3743768,"Data not available"
"1667","PE","RPL23","no hit",-1.2370109,0.2356275,"Data not available"
"1668","PE","RPS16","no hit",-1.133948,0.2082472,"Data not available"
"1669","PE","RPS27A","no hit",-1.1415464,0.2006963,"Data not available"
"1670","PE","RPL30","no hit",-1.0763097,0.2384601,"Data not available"
"1671","PE","RPS19","no hit",-1.3013651,0.1259548,"Data not available"
"1672","PE","TMED10","no hit",-0.4499838,0.2848884,"Data not available"
"1673","PE","CYFIP1","no hit",0.6194631,0.4501244,"Data not available"
"1674","PE","RHOB","no hit",0.0250409,0.927847,"Data not available"
"1675","PE","RPL6","no hit",-1.0933862,0.2281481,"Data not available"
"1676","PE","RPL27A","no hit",-1.0844665,0.219772,"Data not available"
"1677","PE","HNRNPK","no hit",-0.6599319,0.1936588,"Data not available"
"1678","PE","RPL10","no hit",-1.1898856,0.2372063,"Data not available"
"1679","PE","EIF2S3","no hit",-1.0671759,0.1915754,"Data not available"
"1680","PE","CASC4","no hit",-0.4943941,0.2084111,"Data not available"
"1681","PE","MARS","no hit",0.3787247,0.3387717,"Data not available"
"1682","PE","RTN3","no hit",-0.3808997,0.426264,"Data not available"
"1683","PE","TNFRSF10A","no hit",-0.1066146,0.6591751,"Data not available"
"1684","PE","RPL35A","no hit",-1.0699368,0.2867419,"Data not available"
"1685","PE","RPS15A","no hit",-0.8310171,0.3115354,"Data not available"
"1686","PE","RPS26","no hit",-1.3299764,0.1930296,"Data not available"
"1687","PE","XRCC6","no hit",-0.6544365,0.3288321,"Data not available"
"1688","PE","RTN4","no hit",-0.9253006,0.0715115,"Data not available"
"1689","PE","PSMA1","no hit",-0.2073236,0.3497639,"Data not available"
"1690","PE","PSEN1","no hit",0.0490752,0.8768522,"Data not available"
"1691","PE","HNRNPC","no hit",-0.2451348,0.74095,"Data not available"
"1692","PE","ITGAV","no hit",0.2204525,0.5879407,"Data not available"
"1693","PE","SLC29A1","no hit",0.067147,0.8870697,"Data not available"
"1694","PE","CLUH","no hit",-1.0259678,0.0780417,"Data not available"
"1695","PE","LAMTOR2","no hit",0.0370592,0.936528,"Data not available"
"1696","PE","RPSA","no hit",-1.0851253,0.058195,"Data not available"
"1697","PE","LPCAT3","no hit",0.4758574,0.2467825,"Data not available"
"1698","PE","RPL9","no hit",-1.1384194,0.2597373,"Data not available"
"1699","PE","RAB21","no hit",0.3823176,0.111094,"Data not available"
"1700","PE","RAB5A","no hit",0.4798704,0.1118641,"Data not available"
"1701","PE","RPL12","no hit",-0.8483631,0.2999692,"Data not available"
"1702","PE","FERMT2","no hit",0.2277756,0.6783076,"Data not available"
"1703","PE","PVR","no hit",0.3156166,0.5524322,"Data not available"
"1704","PE","BAIAP2L1","no hit",0.1782274,0.7474485,"Data not available"
"1705","PE","UPF1","no hit",-0.873153,0.2918223,"Data not available"
"1706","PE","ANTXR1","no hit",-0.1052309,0.6681052,"Data not available"
"1707","PE","HRAS","no hit",-0.0020219,0.995638,"Data not available"
"1708","PE","RPL32","no hit",-0.8883385,0.3432933,"Data not available"
"1709","PE","CCT7","no hit",0.4732419,0.5806681,"Data not available"
"1710","PE","C14orf166","no hit",-0.7046305,0.1506105,"Data not available"
"1711","PE","LYPLA1","no hit",-0.1602324,0.6382971,"Data not available"
"1712","PE","PCYOX1","no hit",0.4072001,0.3384499,"Data not available"
"1713","PE","RPL37A","no hit",-1.0447554,0.3290567,"Data not available"
"1714","PE","RAB27A","no hit",0.4518342,0.360396,"Data not available"
"1715","PE","BCAP31","no hit",0.3408285,0.2876308,"Data not available"
"1716","PE","TMED7-TICAM2|TICAM2|TMED7","no hit",-0.1717446,0.7665532,"Data not available"
"1717","PE","ELAVL1","no hit",-0.3485923,0.5233957,"Data not available"
"1718","PE","DAGLB","no hit",-0.1672868,0.6071934,"Data not available"
"1719","PE","EIF3A","no hit",-1.0504894,0.2752273,"Data not available"
"1720","PE","DERL2","no hit",0.4816663,0.2076798,"Data not available"
"1721","PE","SLC38A2","no hit",-0.4364245,0.2752243,"Data not available"
"1722","PE","RPL31","no hit",-1.0987274,0.2812822,"Data not available"
"1723","PE","RPL18","no hit",-0.9497302,0.3409919,"Data not available"
"1724","PE","SLC35F6","no hit",-0.2156407,0.7070423,"Data not available"
"1725","PE","EIF2S1","no hit",-0.9023143,0.2225104,"Data not available"
"1726","PE","VPS35","no hit",-0.3605282,0.5421733,"Data not available"
"1727","PE","SNAP23","no hit",-0.0457802,0.8975413,"Data not available"
"1728","PE","CCT2","no hit",0.3322103,0.6709352,"Data not available"
"1729","PE","ATP6V0A1","no hit",0.2310992,0.3068558,"Data not available"
"1730","PE","ATL3","no hit",0.3934117,0.0735579,"Data not available"
"1731","PE","IGF2BP1","no hit",-1.0102529,0.1771116,"Data not available"
"1732","PE","EIF3D","no hit",-0.8500947,0.3232649,"Data not available"
"1733","PE","GGH","no hit",0.0564856,0.8605734,"Data not available"
"1734","PE","ERO1A","no hit",0.4630809,0.4239533,"Data not available"
"1735","PE","UBL3","no hit",0.3035245,0.4382518,"Data not available"
"1736","PE","TMED2","no hit",-0.3564787,0.4804389,"Data not available"
"1737","PE","LMAN2","no hit",-0.184572,0.6132973,"Data not available"
"1738","PE","DDX1","no hit",-0.7219445,0.3207356,"Data not available"
"1739","PE","RAB6A","no hit",-0.01696,0.9533015,"Data not available"
"1740","PE","SIGMAR1","no hit",0.4722193,0.3652529,"Data not available"
"1741","PE","FUBP3","no hit",-0.8228288,0.2591701,"Data not available"
"1742","PE","IMPDH2","no hit",0.3462835,0.4846863,"Data not available"
"1743","PE","HNRNPH1","no hit",-0.2258633,0.705339,"Data not available"
"1744","PE","RAB2A","no hit",-0.1124195,0.7583336,"Data not available"
"1745","PE","ILF3","no hit",-0.106283,0.8452011,"Data not available"
"1746","PE","ERGIC3","no hit",-0.3786691,0.3706778,"Data not available"
"1747","PE","TSPAN3","no hit",-0.3616053,0.3127074,"Data not available"
"1748","PE","CTSC","no hit",0.0799476,0.791074,"Data not available"
"1749","PE","ECE1","no hit",0.331679,0.4490837,"Data not available"
"1750","PE","RAB10","no hit",0.0514575,0.8111795,"Data not available"
"1751","PE","SLC1A4","no hit",0.2219732,0.5314052,"Data not available"
"1752","PE","DAD1","no hit",0.6055691,0.3013035,"Data not available"
"1753","PE","ERAP1","no hit",0.6005637,0.1719888,"Data not available"
"1754","PE","ERGIC1","no hit",0.0770924,0.7260678,"Data not available"
"1755","PE","MVP","no hit",-0.2576867,0.6424437,"Data not available"
"1756","PE","ITGB5","no hit",0.0670563,0.8260941,"Data not available"
"1757","PE","FEN1","no hit",-0.559013,0.4041246,"Data not available"
"1758","PE","ABCE1","no hit",-0.571933,0.4836823,"Data not available"
"1759","PE","RARS","no hit",0.4231013,0.3769824,"Data not available"
"1760","PE","EIF3L","no hit",-0.865914,0.3011011,"Data not available"
"1761","PE","RECQL","no hit",-0.8720744,0.236178,"Data not available"
"1762","PE","ADAM15","no hit",0.4820007,0.140979,"Data not available"
"1763","PE","TMED4","no hit",-0.1669862,0.6677787,"Data not available"
"1764","PE","RACK1","no hit",-0.8285872,0.1853885,"Data not available"
"1765","PE","HNRNPM","no hit",-0.1313169,0.7690945,"Data not available"
"1766","PE","VAMP8","no hit",-0.201922,0.6113554,"Data not available"
"1767","PE","EIF3B","no hit",-0.6229093,0.3662121,"Data not available"
"1768","PE","MOV10","no hit",-0.660373,0.2260206,"Data not available"
"1769","PE","ATP6V0D1","no hit",0.0733311,0.7702152,"Data not available"
"1770","PE","VAMP7","no hit",-0.0231325,0.9315266,"Data not available"
"1771","PE","TMED1","no hit",-0.1182927,0.7766722,"Data not available"
"1772","PE","SLC38A7","no hit",0.1262036,0.7504144,"Data not available"
"1773","PE","NEU1","no hit",0.4126054,0.2822999,"Data not available"
"1774","PE","LMNA","no hit",-0.1354718,0.8445276,"Data not available"
"1775","PE","SPTBN1","no hit",0.8697761,0.2050876,"Data not available"
"1776","PE","CTNNA1","no hit",-0.16918,0.7733563,"Data not available"
"1777","PE","EIF3H","no hit",-0.9723089,0.2391415,"Data not available"
"1778","PE","HEXB","no hit",-0.126065,0.8030471,"Data not available"
"1779","PE","GALNT7","no hit",0.0871305,0.7867553,"Data not available"
"1780","PE","ATP1B3","no hit",0.110101,0.8200051,"Data not available"
"1781","PE","ALDH7A1","no hit",0.470968,0.3470851,"Data not available"
"1782","PE","EIF3C","no hit",-0.7628475,0.2574795,"Data not available"
"1783","PE","TCP1","no hit",0.3813473,0.7065899,"Data not available"
"1784","PE","SMC2","no hit",-0.8232297,0.1994572,"Data not available"
"1785","PE","HNRNPUL1","no hit",-0.1817665,0.6864037,"Data not available"
"1786","PE","EIF3E","no hit",-0.7451165,0.2611863,"Data not available"
"1787","PE","CCT5","no hit",0.252631,0.8068653,"Data not available"
"1788","PE","MYOF","no hit",0.1651339,0.7127568,"Data not available"
"1789","PE","SLC7A6","no hit",-0.0722096,0.8374706,"Data not available"
"1790","PE","SLC7A5","no hit",-0.1663057,0.6780564,"Data not available"
"1791","PE","HNRNPR","no hit",-0.1816969,0.6599363,"Data not available"
"1792","PE","RAB3D","no hit",0.2047058,0.509463,"Data not available"
"1793","PE","CSTB","no hit",-0.4572256,0.3277294,"Data not available"
"1794","PE","DDB1","no hit",0.2921831,0.2876371,"Data not available"
"1795","PE","TMEM109","no hit",0.2585744,0.6184753,"Data not available"
"1796","PE","MPDU1|HBEBP2BPA","no hit",0.2904126,0.5555073,"Data not available"
"1797","PE","PKN2","no hit",0.3285979,0.6096717,"Data not available"
"1798","PE","VCP","no hit",0.5938006,0.3261464,"Data not available"
"1799","PE","EPHX1","no hit",0.4878827,0.2989744,"Data not available"
"1800","PE","POFUT1","no hit",0.5126925,0.0720001,"Data not available"
"1801","PE","RPS21","no hit",-0.9200207,0.0256978,"Data not available"
"1802","PE","IGF2R","no hit",0.1507547,0.703993,"Data not available"
"1803","PE","CCT6A","no hit",0.3213645,0.7565114,"Data not available"
"1804","PE","ALYREF","no hit",0.055784,0.9181977,"Data not available"
"1805","PE","LNPEP","no hit",-0.1241197,0.7654046,"Data not available"
"1806","PE","SEC23IP","no hit",-0.8502318,0.2656788,"Data not available"
"1807","PE","ABCB6","no hit",0.5408159,0.1049927,"Data not available"
"1808","PE","SDCBP","no hit",0.5806899,0.1592729,"Data not available"
"1809","PE","HNRNPD","no hit",0.0555533,0.8866181,"Data not available"
"1810","PE","TMED9","no hit",-0.1722856,0.7396826,"Data not available"
"1811","PE","HSP90AB1","no hit",-0.0897142,0.8175263,"Data not available"
"1812","PE","DDR1","no hit",-0.0233097,0.9350488,"Data not available"
"1813","PE","RAB14","no hit",-0.1611457,0.6067444,"Data not available"
"1814","PE","TMEM106B","no hit",0.3989278,0.4382704,"Data not available"
"1815","PE","CCT4","no hit",0.3081591,0.768767,"Data not available"
"1816","PE","SCARB2","no hit",0.4324196,0.4845055,"Data not available"
"1817","PE","CCT3","no hit",0.2573196,0.7834786,"Data not available"
"1818","PE","FASN","no hit",-0.2757642,0.5161753,"Data not available"
"1819","PE","SCPEP1","no hit",-0.0589112,0.9035318,"Data not available"
"1820","PE","PARP1","no hit",0.1464677,0.81736,"Data not available"
"1821","PE","HADHB","no hit",0.3449166,0.4240061,"Data not available"
"1822","PE","RTCB","no hit",-0.5982079,0.3557466,"Data not available"
"1823","PE","NSUN2","no hit",-0.6447477,0.2202538,"Data not available"
"1824","PE","CTSA","no hit",-0.1374767,0.7694417,"Data not available"
"1825","PE","NCS1","no hit",0.2713215,0.4097841,"Data not available"
"1826","PE","ARL6IP5","no hit",0.2463498,0.6084416,"Data not available"
"1827","PE","GLA","no hit",0.3790152,0.4000791,"Data not available"
"1828","PE","ALDH9A1","no hit",0.2161166,0.5803803,"Data not available"
"1829","PE","RAB9A","no hit",0.0540906,0.8223089,"Data not available"
"1830","PE","SND1","no hit",-0.4387089,0.6431635,"Data not available"
"1831","PE","RAB7A","no hit",0.2065882,0.4822033,"Data not available"
"1832","PE","AHNAK","no hit",0.0956885,0.7691359,"Data not available"
"1833","PE","GYS1","no hit",-0.6397497,0.2904905,"Data not available"
"1834","PE","TFRC","no hit",0.0034287,0.9914545,"Data not available"
"1835","PE","NAGLU","no hit",-0.0308454,0.918546,"Data not available"
"1836","PE","ATP6V1A","no hit",-0.0399806,0.865436,"Data not available"
"1837","PE","ATP2C1","no hit",-0.1061876,0.70962,"Data not available"
"1838","PE","DDR2","no hit",-0.1574708,0.5336436,"Data not available"
"1839","PE","RRBP1","no hit",0.0653534,0.9102602,"Data not available"
"1840","PE","TMX1","no hit",0.0220703,0.9562475,"Data not available"
"1841","PE","PROCR","no hit",0.3599981,0.3502955,"Data not available"
"1842","PE","SLC38A1","no hit",-0.3693581,0.4008171,"Data not available"
"1843","PE","EIF3I","no hit",-0.909898,0.0324603,"Data not available"
"1844","PE","PSMB5","no hit",-0.1225236,0.6620449,"Data not available"
"1845","PE","PSAP","no hit",-0.0082476,0.985388,"Data not available"
"1846","PE","PTBP1","no hit",-0.6011508,0.2957882,"Data not available"
"1847","PE","MYH9","no hit",0.2804252,0.6545573,"Data not available"
"1848","PE","DNAJA1","no hit",-0.5552552,0.456788,"Data not available"
"1849","PE","EPRS","no hit",-0.125285,0.7432274,"Data not available"
"1850","PE","BANF1","no hit",-0.491748,0.0718836,"Data not available"
"1851","PE","PKM","no hit",0.1021601,0.8034319,"Data not available"
"1852","PE","CD97","no hit",-0.0022931,0.9958372,"Data not available"
"1853","PE","TPP1","no hit",0.120232,0.7600598,"Data not available"
"1854","PE","FAM49B","no hit",-0.0407488,0.9124582,"Data not available"
"1855","PE","CPA4","no hit",0.3069382,0.5125877,"Data not available"
"1856","PE","AIMP1","no hit",0.2273129,0.4652897,"Data not available"
"1857","PE","TOMM40","no hit",0.3128903,0.6050823,"Data not available"
"1858","PE","ATP5L","no hit",0.5384218,0.3257173,"Data not available"
"1859","PE","YARS","no hit",0.0917299,0.8025687,"Data not available"
"1860","PE","HEXA","no hit",0.0904322,0.8601895,"Data not available"
"1861","PE","LRP1","no hit",-0.1882392,0.5957946,"Data not available"
"1862","PE","PSMA6","no hit",-0.1002187,0.7513365,"Data not available"
"1863","PE","HFE","no hit",-0.1349335,0.6148657,"Data not available"
"1864","PE","CSRP1","no hit",0.3807524,0.5369149,"Data not available"
"1865","PE","ARL8B","no hit",-0.1170163,0.7319887,"Data not available"
"1866","PE","SRP9","no hit",-0.2270302,0.4263129,"Data not available"
"1867","PE","PDLIM1","no hit",0.3823953,0.1882691,"Data not available"
"1868","PE","SLC39A14","no hit",-0.1539015,0.6631376,"Data not available"
"1869","PE","PDCD4","no hit",-0.4801519,0.421892,"Data not available"
"1870","PE","PPT1","no hit",0.0349463,0.9332663,"Data not available"
"1871","PE","CDC2|CDK1","no hit",-0.3084831,0.6067294,"Data not available"
"1872","PE","CTSD","no hit",-0.1605212,0.7294295,"Data not available"
"1873","PE","GBA","no hit",0.2852768,0.5056893,"Data not available"
"1874","PE","NSF","no hit",-0.1084306,0.8680612,"Data not available"
"1875","PE","SLC7A1","no hit",-0.331782,0.3512966,"Data not available"
"1876","PE","VLDLR","no hit",-0.3844171,0.351565,"Data not available"
"1877","PE","PRPF19","no hit",0.1949323,0.6263926,"Data not available"
"1878","PE","ZDHHC20","no hit",-0.1573023,0.5212706,"Data not available"
"1879","PE","DHX9","no hit",0.228274,0.7099837,"Data not available"
"1880","PE","GALNT2","no hit",0.0380946,0.9376862,"Data not available"
"1881","PE","PPA2","no hit",0.2148074,0.5595905,"Data not available"
"1882","PE","RAB5C","no hit",0.1389822,0.6607945,"Data not available"
"1883","PE","KPNA2","no hit",0.098318,0.7040141,"Data not available"
"1884","PE","SLC16A3","no hit",-0.4148181,0.3429709,"Data not available"
