gene_name,sample,comparison,AveExpr,logFC,pvalue,fdr,hit_annotation
PSMC5,Huh7,FA_8_3_UV - FA_8_3_noUV,22.27046332,-0.263335953,0.02083884,0.374641965,no hit
SCP2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.60372574,0.331881704,0.021033252,0.374641965,no hit
DNMT1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.1483543,-0.257041506,0.021068569,0.374641965,no hit
TUFM,Huh7,FA_8_3_UV - FA_8_3_noUV,26.16212037,0.254546649,0.021071954,0.374641965,no hit
RPSA,Huh7,FA_8_3_UV - FA_8_3_noUV,25.98205335,-0.357683695,0.021072576,0.374641965,no hit
TLN2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.36765336,-0.305779427,0.022152619,0.374641965,no hit
DDX17,Huh7,FA_8_3_UV - FA_8_3_noUV,25.58538315,0.252000653,0.022245133,0.374641965,no hit
NUP58,Huh7,FA_8_3_UV - FA_8_3_noUV,22.73890669,0.473841836,0.022339405,0.374641965,no hit
SET,Huh7,FA_8_3_UV - FA_8_3_noUV,25.24337454,-0.56281675,0.02236266,0.374641965,no hit
PRC1,Huh7,FA_8_3_UV - FA_8_3_noUV,22.91933649,0.535446535,0.022487253,0.374641965,no hit
EXOSC5,Huh7,FA_8_3_UV - FA_8_3_noUV,23.20923614,0.479471871,0.024958847,0.374641965,no hit
SHMT2,Huh7,FA_8_3_UV - FA_8_3_noUV,25.93654172,0.344640052,0.025523984,0.374641965,no hit
DLST,Huh7,FA_8_3_UV - FA_8_3_noUV,25.16109547,0.258589743,0.026058096,0.374641965,no hit
SDHA,Huh7,FA_8_3_UV - FA_8_3_noUV,25.70603142,0.369012258,0.026137209,0.374641965,no hit
CTTN,Huh7,FA_8_3_UV - FA_8_3_noUV,23.9097751,-0.304005411,0.026926577,0.374641965,no hit
PGK1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.26150137,-0.440398966,0.02705788,0.374641965,no hit
ALDH1B1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.2113859,0.414177137,0.027462938,0.374641965,no hit
YWHAQ,Huh7,FA_8_3_UV - FA_8_3_noUV,25.47366136,-0.521487485,0.027516851,0.374641965,no hit
ANP32A,Huh7,FA_8_3_UV - FA_8_3_noUV,25.17743497,-0.579460873,0.027616749,0.374641965,no hit
IDH3A,Huh7,FA_8_3_UV - FA_8_3_noUV,25.32035027,0.272664643,0.029659395,0.374641965,no hit
ATP6V1B2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.51301289,0.239739253,0.029831923,0.374641965,no hit
PPIA,Huh7,FA_8_3_UV - FA_8_3_noUV,26.0444885,-0.453584476,0.030288069,0.374641965,no hit
TPI1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.6695963,-0.457533974,0.030385358,0.374641965,no hit
ANP32E,Huh7,FA_8_3_UV - FA_8_3_noUV,23.54362236,-0.629955665,0.030447316,0.374641965,no hit
DECR1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.78260032,0.358835155,0.030459461,0.374641965,no hit
STIP1,Huh7,FA_8_3_UV - FA_8_3_noUV,26.046421,-0.415087186,0.030633259,0.374641965,no hit
CDK6,Huh7,FA_8_3_UV - FA_8_3_noUV,23.9131907,-0.321031464,0.030657215,0.374641965,no hit
ATP5A1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.94876416,0.275987501,0.030717565,0.374641965,no hit
PLD3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.57070852,0.265282894,0.031527355,0.374641965,no hit
RAB5C,Huh7,FA_8_3_UV - FA_8_3_noUV,23.63706298,0.297773814,0.031921817,0.374641965,no hit
OGDHL,Huh7,FA_8_3_UV - FA_8_3_noUV,24.3247292,0.288762253,0.032027499,0.374641965,no hit
ANP32B,Huh7,FA_8_3_UV - FA_8_3_noUV,24.63200684,-0.541225902,0.032139722,0.374641965,no hit
LMAN1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.50102633,0.413219764,0.032321876,0.374641965,no hit
PCBP2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.4093285,-0.286131484,0.032400384,0.374641965,no hit
GDI2,Huh7,FA_8_3_UV - FA_8_3_noUV,25.0290515,-0.463022109,0.032711284,0.374641965,no hit
NPEPPS,Huh7,FA_8_3_UV - FA_8_3_noUV,27.51960478,-0.335086209,0.032922287,0.374641965,no hit
NUDT5,Huh7,FA_8_3_UV - FA_8_3_noUV,24.50728167,-0.557697269,0.033655011,0.374641965,no hit
KTN1,Huh7,FA_8_3_UV - FA_8_3_noUV,27.37087049,0.414844958,0.033662969,0.374641965,no hit
UQCRC1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.60646087,0.27683947,0.033818344,0.374641965,no hit
GOT2,Huh7,FA_8_3_UV - FA_8_3_noUV,26.238535,0.268182648,0.033975931,0.374641965,no hit
UBE3A,Huh7,FA_8_3_UV - FA_8_3_noUV,23.99003748,-0.366576738,0.034588243,0.374641965,no hit
CAD,Huh7,FA_8_3_UV - FA_8_3_noUV,26.29453456,-0.28747107,0.034842588,0.374641965,no hit
GSPT1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.52726538,-0.357633991,0.034996411,0.374641965,no hit
KDELC2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.53406663,0.396073454,0.035154496,0.374641965,no hit
HSPA4,Huh7,FA_8_3_UV - FA_8_3_noUV,25.79447589,-0.510956238,0.035193096,0.374641965,no hit
PGM1,Huh7,FA_8_3_UV - FA_8_3_noUV,22.76753288,-0.34298367,0.035688893,0.374641965,no hit
PLS3,Huh7,FA_8_3_UV - FA_8_3_noUV,25.86558393,-0.324965536,0.035927813,0.374641965,no hit
NSUN2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.26195757,-0.292098391,0.035951345,0.374641965,no hit
TPM1,Huh7,FA_8_3_UV - FA_8_3_noUV,26.44429808,-0.544423748,0.036646527,0.374641965,no hit
LARS2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.79574263,0.241089916,0.036648395,0.374641965,no hit
NACA,Huh7,FA_8_3_UV - FA_8_3_noUV,23.00272067,-0.579752066,0.036798134,0.374641965,no hit
LANCL2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.56784205,-0.315236054,0.036888125,0.374641965,no hit
RPA1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.15445138,-0.36063324,0.037089172,0.374641965,no hit
HSD17B4,Huh7,FA_8_3_UV - FA_8_3_noUV,23.5279618,0.381854197,0.037633237,0.374641965,no hit
ACAD9,Huh7,FA_8_3_UV - FA_8_3_noUV,24.25200025,0.402252609,0.037660334,0.374641965,no hit
ERH,Huh7,FA_8_3_UV - FA_8_3_noUV,24.34124714,0.287310424,0.03837691,0.374641965,no hit
VARS,Huh7,FA_8_3_UV - FA_8_3_noUV,26.48736472,-0.255366014,0.038527989,0.374641965,no hit
WDR77,Huh7,FA_8_3_UV - FA_8_3_noUV,22.86587834,-0.359120349,0.038950327,0.374641965,no hit
TSFM,Huh7,FA_8_3_UV - FA_8_3_noUV,23.61615802,0.299561037,0.03904184,0.374641965,no hit
RPS19,Huh7,FA_8_3_UV - FA_8_3_noUV,23.79978277,-0.350228496,0.039159707,0.374641965,no hit
ETFB,Huh7,FA_8_3_UV - FA_8_3_noUV,24.91281617,0.221734576,0.039336049,0.374641965,no hit
PDCL3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.30340468,-0.316972614,0.039527657,0.374641965,no hit
PPIF,Huh7,FA_8_3_UV - FA_8_3_noUV,24.56852482,0.444173964,0.039925637,0.374641965,no hit
GLRX3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.56934173,-0.447809882,0.039982487,0.374641965,no hit
DDX21,Huh7,FA_8_3_UV - FA_8_3_noUV,25.39703054,0.253837921,0.040119735,0.374641965,no hit
PLEC,Huh7,FA_8_3_UV - FA_8_3_noUV,30.17776006,0.221183561,0.040796117,0.374641965,no hit
CLIC4,Huh7,FA_8_3_UV - FA_8_3_noUV,25.87060115,-0.36962918,0.041237647,0.374641965,no hit
ACOT9,Huh7,FA_8_3_UV - FA_8_3_noUV,22.86659664,0.311400267,0.042142903,0.374641965,no hit
BUB3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.69491118,-0.433023453,0.042411884,0.374641965,no hit
ACAT1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.51151694,0.28521885,0.042589921,0.374641965,no hit
EEF1D,Huh7,FA_8_3_UV - FA_8_3_noUV,24.17625473,-0.387528794,0.042690639,0.374641965,no hit
PSME3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.58174067,-0.261565207,0.043009501,0.374641965,no hit
EPRS,Huh7,FA_8_3_UV - FA_8_3_noUV,26.375082,-0.380516825,0.043297137,0.374641965,no hit
HSP90AA1,Huh7,FA_8_3_UV - FA_8_3_noUV,27.6626972,-0.344244483,0.043748159,0.374641965,no hit
USP5,Huh7,FA_8_3_UV - FA_8_3_noUV,25.55191316,-0.46094511,0.043879536,0.374641965,no hit
MRPL20,Huh7,FA_8_3_UV - FA_8_3_noUV,22.87979805,0.310822884,0.043880797,0.374641965,no hit
SMS,Huh7,FA_8_3_UV - FA_8_3_noUV,25.11270905,-0.359414796,0.044439569,0.374641965,no hit
AKR1C3,Huh7,FA_8_3_UV - FA_8_3_noUV,24.85935729,-0.382418705,0.04450609,0.374641965,no hit
XRCC5,Huh7,FA_8_3_UV - FA_8_3_noUV,26.34707055,-0.269581279,0.044546668,0.374641965,no hit
MAPRE3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.83062805,-0.420098629,0.045849767,0.374641965,no hit
XPOT,Huh7,FA_8_3_UV - FA_8_3_noUV,23.82737793,-0.383132288,0.045972769,0.374641965,no hit
EIF4G2,Huh7,FA_8_3_UV - FA_8_3_noUV,25.35333827,-0.28530982,0.047519503,0.374641965,no hit
MTHFD1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.94027577,-0.279880199,0.04792756,0.374641965,no hit
KIF5B,Huh7,FA_8_3_UV - FA_8_3_noUV,25.47443787,-0.326297077,0.048244973,0.374641965,no hit
PSMA5,Huh7,FA_8_3_UV - FA_8_3_noUV,24.58365817,-0.334987291,0.048814498,0.374641965,no hit
FKBP4,Huh7,FA_8_3_UV - FA_8_3_noUV,24.98116491,-0.427238204,0.048944042,0.374641965,no hit
CASK,Huh7,FA_8_3_UV - FA_8_3_noUV,22.59737969,0.544903793,0.049037008,0.374641965,no hit
EIF4A1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.07161476,-0.266282718,0.049524664,0.374641965,no hit
HSPH1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.91008358,-0.386512008,0.049545814,0.374641965,no hit
RBM14,Huh7,FA_8_3_UV - FA_8_3_noUV,23.81126893,0.307433932,0.049655373,0.374641965,no hit
RPLP0,Huh7,FA_8_3_UV - FA_8_3_noUV,25.19653938,-0.221348254,0.050032664,0.374641965,no hit
MIA3,Huh7,FA_8_3_UV - FA_8_3_noUV,22.96343882,0.282242443,0.050047511,0.374641965,no hit
EIF3D,Huh7,FA_8_3_UV - FA_8_3_noUV,24.48037881,-0.226016139,0.050079675,0.374641965,no hit
STAG1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.18036851,0.712302741,0.050134879,0.374641965,no hit
EZR,Huh7,FA_8_3_UV - FA_8_3_noUV,26.3108335,-0.269361783,0.050264254,0.374641965,no hit
POLDIP2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.50528508,0.214177359,0.050482429,0.374641965,no hit
RACK1,Huh7,FA_8_3_UV - FA_8_3_noUV,26.72283686,-0.330348157,0.050593951,0.374641965,no hit
DPP3,Huh7,FA_8_3_UV - FA_8_3_noUV,25.970941,-0.438202134,0.050869191,0.374641965,no hit
COPG1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.62996911,-0.219559085,0.050889763,0.374641965,no hit
LDHB,Huh7,FA_8_3_UV - FA_8_3_noUV,26.12189671,-0.507346763,0.050904639,0.374641965,no hit
LDHA,Huh7,FA_8_3_UV - FA_8_3_noUV,26.18440212,-0.374745073,0.051694334,0.374641965,no hit
IMP3,Huh7,FA_8_3_UV - FA_8_3_noUV,22.38608821,0.479591135,0.051983541,0.374641965,no hit
SEC31A,Huh7,FA_8_3_UV - FA_8_3_noUV,25.59076225,-0.221109159,0.052016579,0.374641965,no hit
MTHFD1L,Huh7,FA_8_3_UV - FA_8_3_noUV,25.28625614,0.360007542,0.052821892,0.374641965,no hit
EIF3B,Huh7,FA_8_3_UV - FA_8_3_noUV,25.69263316,-0.274620625,0.053088827,0.374641965,no hit
MRE11A,Huh7,FA_8_3_UV - FA_8_3_noUV,22.07487033,0.326161897,0.053399365,0.374641965,no hit
ATP6V1E1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.53762239,0.218404747,0.053757635,0.374641965,no hit
BPNT1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.77634386,-0.427000195,0.053835903,0.374641965,no hit
DDX56,Huh7,FA_8_3_UV - FA_8_3_noUV,23.2187143,0.242543504,0.053860603,0.374641965,no hit
YWHAB,Huh7,FA_8_3_UV - FA_8_3_noUV,24.79095125,-0.555811092,0.054026531,0.374641965,no hit
MTPAP,Huh7,FA_8_3_UV - FA_8_3_noUV,23.64821856,0.396988054,0.054370648,0.374641965,no hit
PDCD11,Huh7,FA_8_3_UV - FA_8_3_noUV,24.3706453,0.349959069,0.054420976,0.374641965,no hit
CNDP2,Huh7,FA_8_3_UV - FA_8_3_noUV,22.51177945,-0.596649025,0.054753159,0.374644345,no hit
IDH2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.55749275,0.310040522,0.05549382,0.377424838,no hit
CAPZA1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.22682445,-0.294889671,0.056812662,0.38408081,no hit
EPB41L2,Huh7,FA_8_3_UV - FA_8_3_noUV,22.5835918,0.362389108,0.057881633,0.388978355,no hit
RPS9,Huh7,FA_8_3_UV - FA_8_3_noUV,25.04890691,-0.312840069,0.059158555,0.39520715,no hit
DCTN1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.47781186,-0.244183933,0.059855759,0.396170458,no hit
RPS12,Huh7,FA_8_3_UV - FA_8_3_noUV,24.45747647,-0.230557712,0.060629055,0.396170458,no hit
ALDOA,Huh7,FA_8_3_UV - FA_8_3_noUV,26.8295179,-0.310466028,0.060742583,0.396170458,no hit
GART,Huh7,FA_8_3_UV - FA_8_3_noUV,25.29943026,-0.30030695,0.061309071,0.396170458,no hit
KIAA1429,Huh7,FA_8_3_UV - FA_8_3_noUV,24.96229483,0.50940365,0.061424441,0.396170458,no hit
NAXE,Huh7,FA_8_3_UV - FA_8_3_noUV,23.46283878,-0.388241289,0.061640038,0.396170458,no hit
MGEA5,Huh7,FA_8_3_UV - FA_8_3_noUV,25.36418102,-0.349570567,0.061759079,0.396170458,no hit
NUP54,Huh7,FA_8_3_UV - FA_8_3_noUV,23.50189463,0.265511995,0.063618394,0.400974148,no hit
OSBPL1A,Huh7,FA_8_3_UV - FA_8_3_noUV,23.2296546,-0.432951457,0.063772355,0.400974148,no hit
ARHGDIA,Huh7,FA_8_3_UV - FA_8_3_noUV,24.12230401,-0.490998159,0.063856189,0.400974148,no hit
CPSF1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.11733966,0.271930512,0.064078841,0.400974148,no hit
PTGES3,Huh7,FA_8_3_UV - FA_8_3_noUV,24.54966673,-0.580942275,0.064283721,0.400974148,no hit
DPYSL3,Huh7,FA_8_3_UV - FA_8_3_noUV,24.56807218,-0.280297205,0.065197079,0.402849711,no hit
HEATR1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.87600575,0.450506482,0.065710095,0.402849711,no hit
DIS3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.371729,-0.293707631,0.065915224,0.402849711,no hit
OTUB1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.33824337,-0.405116247,0.067031817,0.402849711,no hit
SQRDL,Huh7,FA_8_3_UV - FA_8_3_noUV,23.94843896,0.230784634,0.067216274,0.402849711,no hit
NXN,Huh7,FA_8_3_UV - FA_8_3_noUV,23.02273296,-0.40431336,0.067729178,0.402849711,no hit
TGM3,Huh7,FA_8_3_UV - FA_8_3_noUV,22.54538211,0.694220502,0.068191327,0.402849711,no hit
NRDC,Huh7,FA_8_3_UV - FA_8_3_noUV,25.27720102,-0.310109395,0.068474567,0.402849711,no hit
PDHA1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.88857428,0.2260874,0.068480873,0.402849711,no hit
IVD,Huh7,FA_8_3_UV - FA_8_3_noUV,24.17334124,0.289585189,0.068546069,0.402849711,no hit
GSTP1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.19206289,-0.638598128,0.068679952,0.402849711,no hit
ACADSB,Huh7,FA_8_3_UV - FA_8_3_noUV,24.50480456,0.275059995,0.068866248,0.402849711,no hit
S100A10,Huh7,FA_8_3_UV - FA_8_3_noUV,22.84069786,0.298790701,0.06951289,0.404536355,no hit
SFPQ,Huh7,FA_8_3_UV - FA_8_3_noUV,24.82648949,0.199967054,0.070111488,0.40592754,no hit
DNAJC3,Huh7,FA_8_3_UV - FA_8_3_noUV,24.1001326,0.299021294,0.070917654,0.40705369,no hit
LASP1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.17818505,-0.600682133,0.071467814,0.40705369,no hit
YWHAH,Huh7,FA_8_3_UV - FA_8_3_noUV,24.98488383,-0.373091141,0.071485293,0.40705369,no hit
UBA1,Huh7,FA_8_3_UV - FA_8_3_noUV,26.69602389,-0.307398097,0.07174817,0.40705369,no hit
NOP56,Huh7,FA_8_3_UV - FA_8_3_noUV,24.76495738,0.381309721,0.072134805,0.407200972,no hit
ARHGAP1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.05805604,-0.31263425,0.073296996,0.40870954,no hit
NAT10,Huh7,FA_8_3_UV - FA_8_3_noUV,25.93784474,0.310899117,0.073778952,0.40870954,no hit
YBX1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.03290331,-0.234878862,0.073891786,0.40870954,no hit
PUS1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.12732082,0.231663233,0.074209997,0.40870954,no hit
PPP1CC,Huh7,FA_8_3_UV - FA_8_3_noUV,23.49793012,0.241614461,0.074212095,0.40870954,no hit
FH,Huh7,FA_8_3_UV - FA_8_3_noUV,24.89258583,0.296843119,0.074612139,0.408917983,no hit
XPNPEP1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.36688288,-0.378098891,0.075519937,0.411573651,no hit
GMPS,Huh7,FA_8_3_UV - FA_8_3_noUV,24.99544136,-0.30069099,0.076628138,0.411573651,no hit
BCCIP,Huh7,FA_8_3_UV - FA_8_3_noUV,22.24632719,-0.291752304,0.076841462,0.411573651,no hit
THOC3,Huh7,FA_8_3_UV - FA_8_3_noUV,24.13058982,0.200193849,0.076955922,0.411573651,no hit
CS,Huh7,FA_8_3_UV - FA_8_3_noUV,25.55567249,0.251934767,0.078103045,0.411573651,no hit
EIF1AY|EIF1AX,Huh7,FA_8_3_UV - FA_8_3_noUV,23.96818073,-0.301845317,0.079384532,0.411573651,no hit
CLIC1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.67060636,-0.39583859,0.080511305,0.411573651,no hit
DARS2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.67859763,0.228456546,0.080684847,0.411573651,no hit
PLOD1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.57823708,0.282766883,0.080791153,0.411573651,no hit
SYNE1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.07911272,0.212972685,0.081069686,0.411573651,no hit
EEF1B2,Huh7,FA_8_3_UV - FA_8_3_noUV,25.50556412,-0.453248566,0.081286529,0.411573651,no hit
ARCN1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.45877525,-0.220904716,0.081904526,0.411573651,no hit
STRBP,Huh7,FA_8_3_UV - FA_8_3_noUV,24.41152147,0.269041407,0.082172644,0.411573651,no hit
ELAC2,Huh7,FA_8_3_UV - FA_8_3_noUV,23.23468733,0.280032705,0.082571729,0.411573651,no hit
CPOX,Huh7,FA_8_3_UV - FA_8_3_noUV,24.34865112,0.244253776,0.082586948,0.411573651,no hit
PYCR1,Huh7,FA_8_3_UV - FA_8_3_noUV,22.73199066,0.26318616,0.082854714,0.411573651,no hit
SSB,Huh7,FA_8_3_UV - FA_8_3_noUV,25.07706026,-0.435706345,0.082901009,0.411573651,no hit
PFN1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.24771612,-0.469984479,0.083101982,0.411573651,no hit
TPM3,Huh7,FA_8_3_UV - FA_8_3_noUV,25.43708417,-0.43857413,0.083209732,0.411573651,no hit
COQ9,Huh7,FA_8_3_UV - FA_8_3_noUV,24.24629733,0.216404027,0.083420011,0.411573651,no hit
ANXA1,Huh7,FA_8_3_UV - FA_8_3_noUV,25.09406498,-0.425898979,0.083656265,0.411573651,no hit
DAP3,Huh7,FA_8_3_UV - FA_8_3_noUV,23.70732933,0.44748198,0.083759465,0.411573651,no hit
MAP1B,Huh7,FA_8_3_UV - FA_8_3_noUV,25.86366292,-0.599251904,0.083931593,0.411573651,no hit
SUPV3L1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.46136917,0.410808795,0.084184929,0.411573651,no hit
